"source_group","dataset","dataset_md5","n","p","metric","seed","query_n","query_sampling","reference_k","reference_backend_used","cpu_audit_n","cpu_audit_mean_recall","cpu_audit_min_recall","cpu_audit_max_distance_error","cpu_audit_pass","faissR_version","faissR_package_commit","faissR_image_commit","record_source"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,6.49690628051758e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","MNIST","b63d063e7332b8e685cd6decd766326c",70000,784,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,5.57303428649902e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"euclidean",4,873,"all_rows",100,"faiss_gpu_bfknn_l2",64,1,1,1.20592476449133e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"euclidean",20260706,873,"all_rows",100,"faiss_gpu_bfknn_l2",64,1,1,1.20592476449133e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"euclidean",20260807,873,"all_rows",100,"faiss_gpu_bfknn_l2",64,1,1,1.20592476449133e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"cosine",4,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,7.74860382080078e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"cosine",20260706,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,7.74860382080078e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"cosine",20260807,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,7.74860382080078e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"correlation",4,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,9.08970832824707e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"correlation",20260706,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,9.08970832824707e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,"correlation",20260807,873,"all_rows",100,"cuda_native_exact_gpu",64,1,1,9.08970832824707e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,0.9975,0.99,6.09887201790116e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,0.99859375,0.99,6.10261270139745e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"euclidean",20260807,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",64,0.99828125,0.99,6.10301904089283e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"cosine",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.9984375,0.99,5.36441802978516e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","USPS","aaccc5d9ba97f10b4f1bca66d806b132",11000,256,"cosine",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,0.99765625,0.99,5.0663948059082e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
